City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mahébourg,75,MU,6/17/2021 17:59,94,-20.4081,57.7,70.09,9.22
1,Oranjestad,20,AW,6/17/2021 17:59,62,12.524,-70.027,89.55,21.85
2,Grand Gaube,14,MU,6/17/2021 17:59,84,-20.0064,57.6608,70.38,1.99
3,Hasaki,10,JP,6/17/2021 17:51,80,35.7333,140.8333,62.98,11.34
4,Puerto Ayora,75,EC,6/17/2021 17:51,83,-0.7393,-90.3518,78.55,5.99
5,Shahr-e Bābak,0,IR,6/17/2021 17:59,11,30.1165,55.1186,82.71,16.33
6,Lebu,11,CL,6/17/2021 17:51,66,-37.6167,-73.65,56.53,3.62
7,Torbay,75,CA,6/17/2021 17:59,80,47.6666,-52.7314,68.49,19.57
8,Rikitea,97,PF,6/17/2021 17:59,79,-23.1203,-134.9692,74.25,28.74
9,Baní,48,DO,6/17/2021 17:59,55,18.2833,-70.3333,87.57,16.67
10,Kiunga,100,PG,6/17/2021 17:59,99,-6.1219,141.2906,71.76,2.17
11,Mossamedes,15,AO,6/17/2021 17:56,80,-15.1961,12.1522,67.51,8.59
12,Faanui,91,PF,6/17/2021 17:59,72,-16.4833,-151.75,80.78,23.04
13,Rome,1,US,6/17/2021 17:57,42,34.257,-85.1647,84.45,1.99
14,Guarapari,14,BR,6/17/2021 17:59,68,-20.6667,-40.4975,73.89,9.42
15,Vaini,20,TO,6/17/2021 17:59,94,-21.2,-175.2,68.16,1.14
16,Paka,99,MY,6/17/2021 17:59,88,4.6374,103.4368,76.93,0
17,Liberal,1,US,6/17/2021 17:59,19,37.0431,-100.921,96.3,16.67
18,Nong Han,18,TH,6/17/2021 17:59,82,17.3608,103.1053,81.99,5.32
19,Saint Andrews,1,US,6/17/2021 17:59,38,34.0454,-81.1293,84.56,3
20,Bambous Virieux,75,MU,6/17/2021 17:59,94,-20.3428,57.7575,70.05,9.22
21,Avarua,40,CK,6/17/2021 17:59,88,-21.2078,-159.775,75.25,9.22
22,Ambāla,35,IN,6/17/2021 17:59,63,30.3783,76.7808,83.89,12.37
23,Hilo,90,US,6/17/2021 17:59,93,19.7297,-155.09,71.69,6.91
24,Gorontalo,28,ID,6/17/2021 17:57,96,0.5412,123.0595,73.49,2.33
25,Göksun,0,TR,6/17/2021 17:59,49,38.021,36.4973,61.14,4.65
26,Kisanga,79,TZ,6/17/2021 17:59,59,-7.4362,37.7034,72.55,0.56
27,Rundu,1,NA,6/17/2021 17:59,24,-17.9333,19.7667,62.91,3.62
28,São Gabriel da Cachoeira,40,BR,6/17/2021 17:59,70,-0.1303,-67.0892,84,3.44
29,Karratha,100,AU,6/17/2021 17:59,37,-20.7377,116.8463,66.7,12.26
30,George Town,20,MY,6/17/2021 17:55,88,5.4112,100.3354,77.36,0
31,Hobart,90,AU,6/17/2021 17:59,97,-42.8794,147.3294,52.14,6.91
32,Jablah,0,SY,6/17/2021 17:59,68,35.3614,35.9256,71.89,4.61
33,Xunchang,100,CN,6/17/2021 17:59,92,28.4543,104.715,65.25,1.74
34,Ribeira Grande,75,PT,6/17/2021 17:59,77,38.5167,-28.7,66.6,17.27
35,San Lorenzo,95,PY,6/17/2021 17:59,45,-25.3333,-57.5333,58.19,8.9
36,Atuona,12,PF,6/17/2021 17:59,72,-9.8,-139.0333,79.12,25.03
37,Lorengau,100,PG,6/17/2021 17:59,76,-2.0226,147.2712,79.86,3.42
38,Sur,1,OM,6/17/2021 17:59,60,22.5667,59.5289,89.58,10.78
39,Itarema,39,BR,6/17/2021 17:59,76,-2.9248,-39.9167,82.38,15.21
40,Ipixuna,37,BR,6/17/2021 17:59,87,-1.7625,-48.8043,85.95,3.15
41,Karachi,75,PK,6/17/2021 17:57,66,24.9056,67.0822,87.62,6.91
42,Alta Floresta,40,BR,6/17/2021 17:59,40,-9.8756,-56.0861,93.02,10.36
43,Roebourne,100,AU,6/17/2021 17:59,37,-20.7833,117.1333,67.28,12.3
