,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1,Oranjestad,20,AW,6/17/2021 17:59,62,12.524000000000001,-70.027,89.55,21.85
3,Hasaki,10,JP,6/17/2021 17:51,80,35.7333,140.8333,62.98,11.34
6,Lebu,11,CL,6/17/2021 17:51,66,-37.6167,-73.65,56.53,3.62
7,Torbay,75,CA,6/17/2021 17:59,80,47.6666,-52.7314,68.49,19.57
8,Rikitea,97,PF,6/17/2021 17:59,79,-23.1203,-134.9692,74.25,28.74
10,Kiunga,100,PG,6/17/2021 17:59,99,-6.1219,141.2906,71.76,2.17
11,Mossamedes,15,AO,6/17/2021 17:56,80,-15.1961,12.1522,67.51,8.59
12,Faanui,91,PF,6/17/2021 17:59,72,-16.4833,-151.75,80.78,23.04
13,Rome,1,US,6/17/2021 17:57,42,34.257,-85.1647,84.45,1.99
14,Guarapari,14,BR,6/17/2021 17:59,68,-20.6667,-40.4975,73.89,9.42
15,Vaini,20,TO,6/17/2021 17:59,94,-21.2,-175.2,68.16,1.14
16,Paka,99,MY,6/17/2021 17:59,88,4.6374,103.4368,76.93,0.0
17,Liberal,1,US,6/17/2021 17:59,19,37.0431,-100.921,96.3,16.67
21,Avarua,40,CK,6/17/2021 17:59,88,-21.2078,-159.775,75.25,9.22
23,Hilo,90,US,6/17/2021 17:59,93,19.7297,-155.09,71.69,6.91
24,Gorontalo,28,ID,6/17/2021 17:57,96,0.5412,123.0595,73.49,2.33
26,Kisanga,79,TZ,6/17/2021 17:59,59,-7.4362,37.7034,72.55,0.56
27,Rundu,1,,6/17/2021 17:59,24,-17.9333,19.7667,62.91,3.62
29,Karratha,100,AU,6/17/2021 17:59,37,-20.7377,116.8463,66.7,12.26
31,Hobart,90,AU,6/17/2021 17:59,97,-42.8794,147.3294,52.14,6.91
32,Jablah,0,SY,6/17/2021 17:59,68,35.3614,35.9256,71.89,4.61
33,Xunchang,100,CN,6/17/2021 17:59,92,28.4543,104.715,65.25,1.74
36,Atuona,12,PF,6/17/2021 17:59,72,-9.8,-139.0333,79.12,25.03
37,Lorengau,100,PG,6/17/2021 17:59,76,-2.0226,147.2712,79.86,3.42
38,Sur,1,OM,6/17/2021 17:59,60,22.5667,59.5289,89.58,10.78
39,Itarema,39,BR,6/17/2021 17:59,76,-2.9248,-39.9167,82.38,15.21
40,Ipixuna,37,BR,6/17/2021 17:59,87,-1.7625,-48.8043,85.95,3.15
41,Karachi,75,PK,6/17/2021 17:57,66,24.9056,67.0822,87.62,6.91
43,Roebourne,100,AU,6/17/2021 17:59,37,-20.7833,117.1333,67.28,12.3
44,Busselton,5,AU,6/17/2021 17:59,81,-33.65,115.3333,51.48,8.28
45,Mataura,24,NZ,6/17/2021 17:59,97,-46.1927,168.8643,34.48,4.12
47,Jamestown,37,US,6/17/2021 17:58,38,42.097,-79.2353,71.47,1.01
48,Kapaa,21,US,6/17/2021 17:59,82,22.0752,-159.319,77.11,1.99
49,Majene,90,ID,6/17/2021 17:59,88,-3.5403,118.9707,76.82,5.14
52,Ancud,0,CL,6/17/2021 17:59,59,-41.8697,-73.8203,53.22,8.21
53,Diamantino,35,BR,6/17/2021 17:59,30,-14.4086,-56.4461,88.54,6.15
54,Coalinga,66,US,6/17/2021 17:59,30,36.1397,-120.3602,91.04,4.83
55,Nikolskoye,54,RU,6/17/2021 17:59,65,59.7035,30.7861,67.89,2.91
56,Ambilobe,91,MG,6/17/2021 17:59,82,-13.2,49.05,69.93,3.2
57,Lydenburg,0,ZA,6/17/2021 17:59,38,-25.0978,30.4597,50.4,1.77
58,Carnarvon,0,AU,6/17/2021 17:59,47,-24.8667,113.6333,50.07,8.05
60,Olinda,40,BR,6/17/2021 18:00,69,-8.0089,-34.8553,80.33,10.36
61,Ihosy,0,MG,6/17/2021 18:00,86,-22.4,46.1167,58.05,3.56
62,Chantilly,0,US,6/17/2021 18:00,35,38.8943,-77.4311,75.87,3.0
64,Mbandaka,98,CD,6/17/2021 18:00,82,0.0487,18.2603,74.41,7.36
68,Mitzic,93,GA,6/17/2021 18:00,95,0.7821,11.549000000000001,68.88,2.51
69,Quechultenango,99,MX,6/17/2021 18:00,62,17.4167,-99.2167,82.9,2.46
70,Ayr,20,GB,6/17/2021 18:00,59,55.4627,-4.6339,60.98,4.61
71,Vila,100,PT,6/17/2021 18:00,89,42.0304,-8.1588,53.65,4.81
72,Paracuru,34,BR,6/17/2021 18:00,70,-3.41,-39.0306,82.11,13.91
73,Broome,1,US,6/17/2021 18:00,41,42.2506,-75.833,70.92,1.99
75,Alappuzha,100,IN,6/17/2021 18:00,84,9.49,76.3264,80.73,8.86
76,Kollam,100,IN,6/17/2021 18:00,87,8.8833,76.6,82.27,9.31
79,Hamilton,19,US,6/17/2021 18:00,44,39.1834,-84.5333,83.1,1.99
80,Provideniya,100,RU,6/17/2021 18:00,97,64.3833,-173.3,40.14,4.5
82,Santiago,1,CL,6/17/2021 17:58,50,-33.4569,-70.6483,58.89,0.0
83,Nemuro,70,JP,6/17/2021 18:00,87,43.3236,145.575,46.51,4.81
85,Dangtu,100,CN,6/17/2021 18:00,89,31.5723,118.4928,76.21,5.53
